"slug","name_ar","name_en","category_slug","capability_key","engine_group","risk_level","description","instructions"
"skill-general-tools-calculation","الحساب والتحقق — أدوات عامة General Tools","calculation — general-tools","general-tools","calculation","formula","low","قدرة مشتركة لأدوات general-tools التي تنفذ calculation.","تحقق من اكتمال المدخلات وصحتها.
نفّذ منطق الأداة المحدد دون تغيير المعنى أو الوحدات.
أظهر النتيجة بصيغة واضحة وقابلة للاستخدام.
لا تختلق قيمًا غير موجودة في المدخلات."
"skill-engine-formula","تنفيذ المعادلات والتحقق من النتائج","formula engine execution","platform-core","engine-formula","formula","low","قدرة تشغيل مشتركة لمحرك formula.","تحقق من المدخلات، نفّذ المحرك الصحيح، تحقّق من المخرجات وأعد نتيجة منظمة."
"skill-ai-tools-writing","الكتابة الموجّهة — أدوات الذكاء الاصطناعي AI Tools","writing — ai-tools","ai-tools","writing","ai","medium","قدرة مشتركة لأدوات ai-tools التي تنفذ writing.","تحقق من اكتمال المدخلات وصحتها.
نفّذ منطق الأداة المحدد دون تغيير المعنى أو الوحدات.
أظهر النتيجة بصيغة واضحة وقابلة للاستخدام.
لا تختلق قيمًا غير موجودة في المدخلات."
"skill-engine-ai","تشغيل أدوات الذكاء الاصطناعي","ai engine execution","platform-core","engine-ai","ai","medium","قدرة تشغيل مشتركة لمحرك ai.","تحقق من المزود والنموذج وAlias، ابنِ الطلب، نفّذ الاستدعاء، تحقّق من المخرجات وسجل الاستخدام."
"skill-marketing-tools-calculation","الحساب والتحقق — أدوات التسويق Marketing Tools","calculation — marketing-tools","marketing-tools","calculation","formula","low","قدرة مشتركة لأدوات marketing-tools التي تنفذ calculation.","تحقق من اكتمال المدخلات وصحتها.
نفّذ منطق الأداة المحدد دون تغيير المعنى أو الوحدات.
أظهر النتيجة بصيغة واضحة وقابلة للاستخدام.
لا تختلق قيمًا غير موجودة في المدخلات."
"skill-finance-tools-calculation","الحساب والتحقق — أدوات المال Finance Tools","calculation — finance-tools","finance-tools","calculation","formula","medium","قدرة مشتركة لأدوات finance-tools التي تنفذ calculation.","تحقق من اكتمال المدخلات وصحتها.
نفّذ منطق الأداة المحدد دون تغيير المعنى أو الوحدات.
أظهر النتيجة بصيغة واضحة وقابلة للاستخدام.
لا تختلق قيمًا غير موجودة في المدخلات."
"skill-employment-tools-calculation","الحساب والتحقق — أدوات الرواتب والموظفين Employment Tools","calculation — employment-tools","employment-tools","calculation","formula","low","قدرة مشتركة لأدوات employment-tools التي تنفذ calculation.","تحقق من اكتمال المدخلات وصحتها.
نفّذ منطق الأداة المحدد دون تغيير المعنى أو الوحدات.
أظهر النتيجة بصيغة واضحة وقابلة للاستخدام.
لا تختلق قيمًا غير موجودة في المدخلات."
"skill-business-tools-calculation","الحساب والتحقق — أدوات الأعمال Business Tools","calculation — business-tools","business-tools","calculation","formula","low","قدرة مشتركة لأدوات business-tools التي تنفذ calculation.","تحقق من اكتمال المدخلات وصحتها.
نفّذ منطق الأداة المحدد دون تغيير المعنى أو الوحدات.
أظهر النتيجة بصيغة واضحة وقابلة للاستخدام.
لا تختلق قيمًا غير موجودة في المدخلات."
"skill-text-tools-sorting","الترتيب — أدوات النصوص Text Tools","sorting — text-tools","text-tools","sorting","text","low","قدرة مشتركة لأدوات text-tools التي تنفذ sorting.","تحقق من اكتمال المدخلات وصحتها.
نفّذ منطق الأداة المحدد دون تغيير المعنى أو الوحدات.
أظهر النتيجة بصيغة واضحة وقابلة للاستخدام.
لا تختلق قيمًا غير موجودة في المدخلات."
"skill-engine-text","تحويل النصوص مع الحفاظ على المحتوى","text engine execution","platform-core","engine-text","text","low","قدرة تشغيل مشتركة لمحرك text.","تحقق من المدخلات، نفّذ المحرك الصحيح، تحقّق من المخرجات وأعد نتيجة منظمة."
